Name;Stars;URL;Years;Total Pull Requests;Total Releases;Days Since Last Update;Primary Language;Closed Issues;Total Issues;Issues Ratio (Closed/Total)
freeCodeCamp;373026;https://github.com/freeCodeCamp/freeCodeCamp;8.7;33795;0;-1;TypeScript;16839;17035;0.9884942764895803
free-programming-books;297311;https://github.com/EbookFoundation/free-programming-books;9.91;8404;0;-1;N/A;926;959;0.9655891553701773
awesome;268276;https://github.com/sindresorhus/awesome;9.16;1946;0;-1;N/A;306;331;0.9244712990936556
996.ICU;267872;https://github.com/996icu/996.ICU;4.45;1962;0;-1;N/A;0;0;0
coding-interview-university;264493;https://github.com/jwasham/coding-interview-university;7.25;906;0;-1;N/A;358;402;0.8905472636815921
public-apis;255112;https://github.com/public-apis/public-apis;7.47;3022;0;-1;Python;495;497;0.9959758551307847
developer-roadmap;250385;https://github.com/kamranahmedse/developer-roadmap;6.48;2545;1;-1;TypeScript;881;1396;0.6310888252148997
system-design-primer;228591;https://github.com/donnemartin/system-design-primer;6.53;497;0;-1;Python;75;259;0.28957528957528955
build-your-own-x;216206;https://github.com/codecrafters-io/build-your-own-x;5.33;332;0;-1;N/A;395;560;0.7053571428571429
react;212732;https://github.com/facebook/react;10.29;13855;99;-1;JavaScript;11339;12428;0.9123752816221435
vue;205166;https://github.com/vuejs/vue;10.11;2441;245;-1;TypeScript;9611;9992;0.9618694955964772
awesome-python;179800;https://github.com/vinta/awesome-python;9.2;1833;0;-1;Python;0;0;0
tensorflow;177432;https://github.com/tensorflow/tensorflow;7.84;23343;195;-1;C++;35971;37862;0.9500554645819027
javascript-algorithms;174838;https://github.com/trekhleb/javascript-algorithms;5.46;692;0;-1;JavaScript;210;330;0.6363636363636364
You-Dont-Know-JS;170990;https://github.com/getify/You-Dont-Know-JS;9.81;880;0;-1;N/A;833;913;0.9123767798466593
Python;168079;https://github.com/TheAlgorithms/Python;7.15;7226;0;-1;Python;1271;1297;0.9799537393986122
CS-Notes;166687;https://github.com/CyC2018/CS-Notes;5.56;605;0;-1;N/A;441;567;0.7777777777777778
bootstrap;165180;https://github.com/twbs/bootstrap;12.11;14811;87;-1;JavaScript;21767;22109;0.9845311863946808
ohmyzsh;162087;https://github.com/ohmyzsh/ohmyzsh;14.03;6929;0;-1;Shell;4333;4532;0.956090026478376
linux;156979;https://github.com/torvalds/linux;12.01;761;0;-1;C;0;0;0
flutter;156473;https://github.com/flutter/flutter;8.51;46986;2;-1;Dart;74869;86374;0.8668001945029754
gitignore;151128;https://github.com/github/gitignore;12.83;4266;0;-1;N/A;0;0;0
vscode;150843;https://github.com/microsoft/vscode;8.01;23794;109;-1;TypeScript;155263;162684;0.9543839590863269
computer-science;148628;https://github.com/ossu/computer-science;9.35;400;0;-1;N/A;596;613;0.9722675367047309
Auto-GPT;148029;https://github.com/Significant-Gravitas/Auto-GPT;0.48;2140;18;-1;Jupyter Notebook;1321;1941;0.6805770221535291
awesome-selfhosted;147518;https://github.com/awesome-selfhosted/awesome-selfhosted;8.27;3031;1;-1;N/A;804;804;1.0
Python-100-Days;139598;https://github.com/jackfrued/Python-100-Days;5.52;323;0;0;Python;103;608;0.16940789473684212
the-art-of-command-line;139177;https://github.com/jlevy/the-art-of-command-line;8.3;576;0;-1;N/A;131;237;0.5527426160337553
JavaGuide;136755;https://github.com/Snailclimb/JavaGuide;5.34;1159;0;-1;Java;862;922;0.9349240780911063
javascript;136244;https://github.com/airbnb/javascript;10.85;1463;0;-1;JavaScript;1173;1265;0.9272727272727272
pi-hole;43288;https://github.com/pi-hole/pi-hole;9.25;2322;100;0;Shell;2699;2728;0.9893695014662757
drawio-desktop;42533;https://github.com/jgraph/drawio-desktop;6.28;31;114;-1;JavaScript;1039;1197;0.8680033416875522
design-patterns-for-humans;41786;https://github.com/kamranahmedse/design-patterns-for-humans;6.55;79;0;-1;N/A;47;50;0.94
project-layout;41612;https://github.com/golang-standards/project-layout;5.99;121;0;-1;Makefile;37;102;0.3627450980392157
x64dbg;41524;https://github.com/x64dbg/x64dbg;8.41;789;3;-1;C++;1790;2349;0.7620263942103023
react-native;111615;https://github.com/facebook/react-native;8.66;13866;274;-1;C++;23392;24837;0.9418206707734429
transformers;111371;https://github.com/huggingface/transformers;4.86;13015;124;-1;Python;12082;12676;0.9531397917324077
next.js;111195;https://github.com/vercel/next.js;6.92;17512;1000;-1;JavaScript;15585;17701;0.8804587311451331
electron;109026;https://github.com/electron/electron;10.41;20294;1000;0;C++;17931;18733;0.9571878503176213
awesome-go;107671;https://github.com/avelino/awesome-go;9.18;4330;0;-1;Go;584;585;0.9982905982905983
the-book-of-secret-knowledge;106614;https://github.com/trimstray/the-book-of-secret-knowledge;5.21;241;0;-1;N/A;0;0;0
d3;106189;https://github.com/d3/d3;12.95;1147;193;-1;Shell;2158;2162;0.9981498612395929
free-programming-books-zh_CN;104680;https://github.com/justjavac/free-programming-books-zh_CN;9.84;456;3;-1;N/A;0;0;0
axios;101535;https://github.com/axios/axios;9.05;1407;61;-1;JavaScript;3904;4285;0.9110851808634772
kubernetes;101434;https://github.com/kubernetes/kubernetes;9.25;76419;623;-1;Go;41957;43782;0.9583162030058014
stable-diffusion-webui;101081;https://github.com/AUTOMATIC1111/stable-diffusion-webui;1.04;2374;16;-1;Python;4879;6264;0.7788952745849298
create-react-app;100680;https://github.com/facebook/create-react-app;7.14;4215;83;-1;JavaScript;6504;8153;0.797743162026248
node;97504;https://github.com/nodejs/node;8.78;31252;353;-1;JavaScript;15138;16507;0.917065487368995
PowerToys;95004;https://github.com/microsoft/PowerToys;4.35;4657;84;-1;C#;18481;23660;0.7811073541842772
tech-interview-handbook;94484;https://github.com/yangshun/tech-interview-handbook;7.18;517;0;-1;TypeScript;58;78;0.7435897435897436
three.js;94285;https://github.com/mrdoob/three.js;13.46;14630;148;-1;JavaScript;11515;11891;0.9683794466403162
TypeScript;93888;https://github.com/microsoft/TypeScript;9.23;16594;182;-1;TypeScript;32441;38064;0.8522751155947877
nodebestpractices;92588;https://github.com/goldbergyoni/nodebestpractices;5.98;938;0;-1;Dockerfile;281;311;0.9035369774919614
scrcpy;90655;https://github.com/Genymobile/scrcpy;5.79;384;32;-1;C;2379;3845;0.6187256176853055
deno;90640;https://github.com/denoland/deno;5.32;11027;241;-1;Rust;6969;8381;0.8315236845245197
terminal;90229;https://github.com/microsoft/terminal;6.07;3797;93;-1;C++;10171;11598;0.8769615450939817
angular;89992;https://github.com/angular/angular;8.97;24846;307;-1;TypeScript;24353;25665;0.9488797973894408
material-ui;88494;https://github.com/mui/material-ui;9.05;19997;423;-1;TypeScript;16476;17877;0.921631146165464
awesome-chatgpt-prompts;88059;https://github.com/f/awesome-chatgpt-prompts;0.75;520;0;-1;HTML;0;0;0
ant-design;87463;https://github.com/ant-design/ant-design;8.38;15135;602;-1;TypeScript;26551;27476;0.9663342553501237
clean-code-javascript;85242;https://github.com/ryanmcdermott/clean-code-javascript;6.78;278;0;-1;JavaScript;81;147;0.5510204081632653
rust;85025;https://github.com/rust-lang/rust;13.23;65608;115;-1;Rust;40714;49696;0.8192611075338055
puppeteer;84492;https://github.com/puppeteer/puppeteer;6.33;4511;289;-1;TypeScript;5924;6207;0.9544063154502981
vue-element-admin;83861;https://github.com/PanJiaChen/vue-element-admin;6.39;577;49;-1;Vue;2344;3548;0.6606538895152199
java-design-patterns;83571;https://github.com/iluwatar/java-design-patterns;9.08;1697;0;-1;Java;673;856;0.7862149532710281
storybook;80259;https://github.com/storybookjs/storybook;7.47;11032;1000;-1;TypeScript;9690;11343;0.8542713567839196
thefuck;79232;https://github.com/nvbn/thefuck;8.42;677;17;-1;Python;458;685;0.6686131386861314
animate.css;78517;https://github.com/animate-css/animate.css;11.91;802;22;-1;CSS;828;851;0.972972972972973
realworld;76223;https://github.com/gothinkster/realworld;7.53;709;0;-1;TypeScript;468;521;0.8982725527831094
papers-we-love;76154;https://github.com/papers-we-love/papers-we-love;9.73;509;0;-1;Shell;212;225;0.9422222222222222
models;76090;https://github.com/tensorflow/models;7.59;3756;36;0;Jupyter Notebook;6130;7174;0.8544744912182882
Web-Dev-For-Beginners;75402;https://github.com/microsoft/Web-Dev-For-Beginners;2.82;795;0;-1;JavaScript;232;262;0.8854961832061069
HelloGitHub;74734;https://github.com/521xueweihan/HelloGitHub;7.35;33;34;-1;Python;2393;2507;0.9545273234942162
laravel;74584;https://github.com/laravel/laravel;12.25;4573;147;-1;PHP;0;0;0
LeetCodeAnimation;73633;https://github.com/MisterBooo/LeetCodeAnimation;4.75;76;0;-1;Java;42;59;0.711864406779661
django;72882;https://github.com/django/django;11.36;17174;0;-1;Python;0;0;0
every-programmer-should-know;72850;https://github.com/mtdvio/every-programmer-should-know;6.04;163;0;-1;N/A;18;42;0.42857142857142855
free-for-dev;72637;https://github.com/ripienaar/free-for-dev;8.47;2888;0;-1;HTML;0;0;0
svelte;72299;https://github.com/sveltejs/svelte;6.79;3715;13;-1;JavaScript;4463;5255;0.8492863939105614
FiraCode;72288;https://github.com/tonsky/FiraCode;8.82;183;29;0;Clojure;921;1283;0.7178487918939984
nvm;69832;https://github.com/nvm-sh/nvm;13.4;1037;64;-1;Shell;1679;2012;0.834493041749503
awesome-vue;69415;https://github.com/vuejs/awesome-vue;7.88;3805;0;0;N/A;187;217;0.8617511520737328
spring-boot;69213;https://github.com/spring-projects/spring-boot;10.89;5838;186;-1;Java;30374;30985;0.9802807810230757
neovim;69158;https://github.com/neovim/neovim;9.6;14719;33;-1;Vim Script;8757;10152;0.8625886524822695
hugo;68882;https://github.com/gohugoio/hugo;10.18;4595;240;0;Go;6107;6682;0.9139479197844956
bitcoin;71231;https://github.com/bitcoin/bitcoin;12.72;19601;43;-1;C++;7222;7571;0.953903051116101
opencv;71034;https://github.com/opencv/opencv;11.14;14151;60;-1;C++;7564;9967;0.7589043844687469
pytorch;70473;https://github.com/pytorch/pytorch;7.07;72313;45;-1;Python;24431;36107;0.6766278007034647
nvm;69832;https://github.com/nvm-sh/nvm;13.4;1037;64;-1;Shell;1679;2012;0.834493041749503
mall;69682;https://github.com/macrozheng/mall;5.43;114;2;-1;Java;444;469;0.9466950959488273
iptv;68213;https://github.com/iptv-org/iptv;4.81;6381;0;-1;JavaScript;6353;6507;0.9763331796526817
tauri;68173;https://github.com/tauri-apps/tauri;4.15;3705;607;-1;Rust;2452;2971;0.8253113429821609
moby;66623;https://github.com/moby/moby;10.64;23927;140;-1;Go;18446;22115;0.8340945059914086
Front-End-Checklist;65987;https://github.com/thedaviddias/Front-End-Checklist;5.89;295;1;-1;N/A;143;144;0.9930555555555556
GitHub-Chinese-Top-Charts;65210;https://github.com/GrowingGit/GitHub-Chinese-Top-Charts;4.01;17;0;-1;Java;153;272;0.5625
json-server;68245;https://github.com/typicode/json-server;9.78;367;13;0;JavaScript;483;1060;0.4556603773584906
iptv;68213;https://github.com/iptv-org/iptv;4.81;6381;0;-1;JavaScript;6353;6507;0.9763331796526817
tauri;68173;https://github.com/tauri-apps/tauri;4.15;3705;607;-1;Rust;2452;2971;0.8253113429821609
app-ideas;66736;https://github.com/florinpop17/app-ideas;4.53;559;0;-1;N/A;38;115;0.33043478260869563
moby;66623;https://github.com/moby/moby;10.64;23927;140;-1;Go;18446;22115;0.8340945059914086
Front-End-Checklist;65987;https://github.com/thedaviddias/Front-End-Checklist;5.89;295;1;-1;N/A;143;144;0.9930555555555556
GitHub-Chinese-Top-Charts;65210;https://github.com/GrowingGit/GitHub-Chinese-Top-Charts;4.01;17;0;-1;Java;153;272;0.5625
elasticsearch;65004;https://github.com/elastic/elasticsearch;13.58;66142;118;-1;Java;29009;32845;0.8832090120261836
netdata;64945;https://github.com/netdata/netdata;10.22;8097;69;-1;C;7224;7497;0.9635854341736695
reveal.js;64524;https://github.com/hakimel/reveal.js;12.25;1030;40;-1;JavaScript;1597;2258;0.7072630646589902
flask;64059;https://github.com/pallets/flask;13.43;2458;30;-1;Python;2536;2536;1.0
godot;64032;https://github.com/godotengine/godot;9.68;36183;49;-1;C++;35818;44175;0.8108205998868138
swift;63966;https://github.com/apple/swift;7.87;50642;48;0;C++;8049;14019;0.5741493687138883
webpack;63476;https://github.com/webpack/webpack;11.5;6429;405;-1;JavaScript;9427;9627;0.9792250960839306
awesome-mac;63239;https://github.com/jaywcjlove/awesome-mac;7.14;889;6;-1;JavaScript;273;378;0.7222222222222222
node;62790;https://github.com/base-org/node;0.59;59;15;-1;Shell;35;46;0.7608695652173914
core;62639;https://github.com/home-assistant/core;9.98;57846;1000;-1;Python;39144;41223;0.9495669893020886
fastapi;62213;https://github.com/tiangolo/fastapi;4.75;2588;166;-1;Python;3328;3350;0.9934328358208955
code-server;61960;https://github.com/coder/code-server;4.53;1697;120;-1;TypeScript;2997;3294;0.9098360655737705
express;61784;https://github.com/expressjs/express;14.2;1176;147;-1;JavaScript;3629;3756;0.9661874334398296
Chart.js;61649;https://github.com/chartjs/Chart.js;10.48;3733;106;-1;JavaScript;6635;6920;0.9588150289017341
redis;61371;https://github.com/redis/redis;14.47;6141;59;-1;C;4219;6151;0.6859047309380588
langchain;61169;https://github.com/langchain-ai/langchain;0.89;5978;228;-1;Python;1192;3611;0.3301024646912213
protobuf;60690;https://github.com/protocolbuffers/protobuf;9.04;7959;140;-1;C++;4956;5731;0.8647705461525039
mermaid;60677;https://github.com/mermaid-js/mermaid;8.85;2106;113;-1;JavaScript;1715;2518;0.6810961080222399
resume.github.com;60640;https://github.com/resume/resume.github.com;12.59;183;0;-1;JavaScript;59;111;0.5315315315315315
clash_for_windows_pkg;60533;https://github.com/Fndroid/clash_for_windows_pkg;4.88;15;207;-1;N/A;4347;4530;0.9596026490066225
interviews;60339;https://github.com/kdn251/interviews;6.56;167;0;0;Java;22;52;0.4230769230769231
awesome-machine-learning;59943;https://github.com/josephmisiti/awesome-machine-learning;9.15;858;0;-1;Python;83;83;1.0
redux;59882;https://github.com/reduxjs/redux;8.28;2466;74;0;TypeScript;1974;2012;0.9811133200795229
the-algorithm;59774;https://github.com/twitter/the-algorithm;0.45;513;0;-1;Scala;658;837;0.7861409796893668
stable-diffusion;59728;https://github.com/CompVis/stable-diffusion;1.07;139;0;-1;Jupyter Notebook;178;647;0.2751159196290572
atom;59585;https://github.com/atom/atom;11.63;5280;538;0;JavaScript;16156;17119;0.94374671417723
cs-video-courses;59576;https://github.com/Developer-Y/cs-video-courses;6.88;172;0;-1;N/A;0;0;0
vite;59365;https://github.com/vitejs/vite;3.38;4825;326;-1;TypeScript;5716;6156;0.9285250162443145
nest;59351;https://github.com/nestjs/nest;6.59;7106;89;-1;TypeScript;4892;4932;0.991889699918897
keras;59140;https://github.com/keras-team/keras;8.45;6536;51;-1;Python;11523;11799;0.9766081871345029
markdown-here;59136;https://github.com/adam-p/markdown-here;11.32;82;11;-1;JavaScript;308;607;0.5074135090609555
angular.js;59092;https://github.com/angular/angular.js;13.67;7999;0;2;JavaScript;8648;9039;0.9567430025445293
socket.io;58900;https://github.com/socketio/socket.io;13.5;841;59;-1;TypeScript;3289;3371;0.9756748739246515
github-readme-stats;58770;https://github.com/anuraghazra/github-readme-stats;3.16;1817;0;-1;JavaScript;982;1078;0.9109461966604824
ansible;58466;https://github.com/ansible/ansible;11.51;49695;33;-1;Python;31117;31672;0.9824766355140186
architect-awesome;58431;https://github.com/xingshaocheng/architect-awesome;5.42;79;0;0;N/A;22;69;0.3188405797101449
awesome-react;57906;https://github.com/enaqx/awesome-react;9.09;1254;0;-1;N/A;93;96;0.96875
Front-end-Developer-Interview-Questions;57788;https://github.com/h5bp/Front-end-Developer-Interview-Questions;11.58;658;0;-1;Nunjucks;129;133;0.9699248120300752
jquery;57788;https://github.com/jquery/jquery;14.44;2882;8;0;JavaScript;2198;2267;0.9695632995147773
devops-exercises;57688;https://github.com/bregman-arie/devops-exercises;3.93;324;0;-1;Python;53;69;0.7681159420289855
33-js-concepts;57525;https://github.com/leonardomso/33-js-concepts;5.01;283;0;0;JavaScript;37;56;0.6607142857142857
nocode;57520;https://github.com/kelseyhightower/nocode;5.58;603;1;-1;Dockerfile;628;4527;0.13872321625800751
awesome-interview-questions;57243;https://github.com/DopplerHQ/awesome-interview-questions;7.78;227;0;-1;N/A;30;37;0.8108108108108109
lodash;57113;https://github.com/lodash/lodash;11.42;1356;2;-1;JavaScript;3795;4154;0.9135772749157438
grafana;56974;https://github.com/grafana/grafana;9.74;40179;381;-1;TypeScript;28008;31620;0.8857685009487666
shadowsocks-windows;56929;https://github.com/shadowsocks/shadowsocks-windows;10.65;485;55;-1;C#;2728;2872;0.9498607242339833
funNLP;56488;https://github.com/fighting41love/funNLP;5.05;25;0;0;Python;47;61;0.7704918032786885
supabase;56329;https://github.com/supabase/supabase;3.9;7105;28;-1;TypeScript;2308;2540;0.9086614173228347
echarts;56244;https://github.com/apache/echarts;10.43;1691;111;0;TypeScript;15055;17316;0.8694271194271195
awesome-for-beginners;56081;https://github.com/MunGell/awesome-for-beginners;7.87;1179;0;-1;N/A;117;134;0.8731343283582089
javascript-questions;56009;https://github.com/lydiahallie/javascript-questions;4.24;493;0;-1;N/A;217;222;0.9774774774774775
strapi;55851;https://github.com/strapi/strapi;7.94;8684;297;-1;JavaScript;7882;8220;0.9588807785888078
awesome-public-datasets;55779;https://github.com/awesomedata/awesome-public-datasets;8.8;337;1;-1;N/A;47;111;0.42342342342342343
HowToCook;55730;https://github.com/Anduin2017/HowToCook;3.52;647;1;0;Shell;266;612;0.434640522875817
scikit-learn;55629;https://github.com/scikit-learn/scikit-learn;13.06;16052;34;-1;Python;8775;10383;0.8451314648945392
cpython;55557;https://github.com/python/cpython;6.57;43921;0;-1;Python;57558;64463;0.8928842902129904
Apollo-11;55389;https://github.com/chrislgarry/Apollo-11;9.43;503;0;0;Assembly;316;377;0.8381962864721485
yt-dlp;55383;https://github.com/yt-dlp/yt-dlp;2.86;2171;72;-1;Python;4564;5689;0.8022499560555458
html5-boilerplate;55206;https://github.com/h5bp/html5-boilerplate;13.62;1619;32;-1;JavaScript;1307;1311;0.9969488939740656
gatsby;54707;https://github.com/gatsbyjs/gatsby;8.3;21864;133;-1;JavaScript;13847;13945;0.9929723915381857
playwright;54530;https://github.com/microsoft/playwright;3.81;12590;111;-1;TypeScript;10274;10934;0.9396378269617707
excalidraw;54318;https://github.com/excalidraw/excalidraw;3.68;4026;9;-1;TypeScript;1706;2690;0.6342007434944238
hoppscotch;54223;https://github.com/hoppscotch/hoppscotch;4.05;1986;26;-1;TypeScript;972;1107;0.8780487804878049
fzf;54164;https://github.com/junegunn/fzf;9.88;773;30;-1;Go;2170;2450;0.8857142857142857
syncthing;54110;https://github.com/syncthing/syncthing;9.78;3853;341;-1;Go;4872;5178;0.9409038238702202
superset;54059;https://github.com/apache/superset;8.13;13994;141;-1;TypeScript;8247;9455;0.8722369116869382
element;53644;https://github.com/ElemeFE/element;7.01;5060;145;-1;Vue;15210;17557;0.8663211254770177
rails;53438;https://github.com/rails/rails;15.41;32348;102;-1;Ruby;16157;16547;0.9764307729497794
Java;53424;https://github.com/TheAlgorithms/Java;7.15;3223;0;-1;Java;839;845;0.9928994082840237
ML-For-Beginners;53408;https://github.com/microsoft/ML-For-Beginners;2.51;438;0;-1;HTML;0;0;0
manim;53209;https://github.com/3b1b/manim;8.46;791;10;-1;Python;709;1083;0.65466297322253
tesseract;53112;https://github.com/tesseract-ocr/tesseract;9.07;1546;26;-1;C++;2150;2538;0.847123719464145
design-resources-for-developers;53093;https://github.com/bradtraversy/design-resources-for-developers;3.34;1220;0;-1;N/A;87;87;1.0
spring-framework;53031;https://github.com/spring-projects/spring-framework;12.75;4377;265;-1;Java;22858;23987;0.9529328386209197
awesome-nodejs;52639;https://github.com/sindresorhus/awesome-nodejs;9.16;1095;0;-1;N/A;100;100;1.0
Ventoy;52494;https://github.com/ventoy/Ventoy;3.49;432;93;-1;C;1433;1917;0.7475221700573813
leetcode;52328;https://github.com/azl397985856/leetcode;5.44;308;40;0;JavaScript;241;249;0.9678714859437751
Best-websites-a-programmer-should-visit;52023;https://github.com/sdmg15/Best-websites-a-programmer-should-visit;6.51;1540;0;-1;N/A;71;108;0.6574074074074074
gpt4all;51795;https://github.com/nomic-ai/gpt4all;0.44;419;0;-1;C++;736;964;0.7634854771784232
DeepLearning-500-questions;51465;https://github.com/scutan90/DeepLearning-500-questions;5.2;341;0;0;JavaScript;80;183;0.4371584699453552
react-router;50936;https://github.com/remix-run/react-router;9.31;3006;255;-1;TypeScript;7086;7122;0.9949452401010952
normalize.css;50882;https://github.com/necolas/normalize.css;12.35;390;0;-1;CSS;456;501;0.9101796407185628
Semantic-UI;50740;https://github.com/Semantic-Org/Semantic-UI;10.42;878;154;0;JavaScript;5252;6213;0.8453243199742475
tidb;34772;https://github.com/pingcap/tidb;8.01;30790;176;0;Go;12471;15840;0.7873106060606061
fullPage.js;34715;https://github.com/alvarotrigo/fullPage.js;9.97;511;88;0;JavaScript;3857;4025;0.9582608695652174
pure-bash-bible;34704;https://github.com/dylanaraps/pure-bash-bible;5.24;60;0;-1;Shell;33;75;0.44
