name;stars;url;age_years;primary_language;releases
JavaGuide;137463;https://github.com/Snailclimb/JavaGuide;5.39;Java;0
react-native;112155;https://github.com/facebook/react-native;8.72;Java;275
java-design-patterns;83864;https://github.com/iluwatar/java-design-patterns;9.14;Java;0
guava;48346;https://github.com/google/guava;9.33;Java;40
spring-boot;69486;https://github.com/spring-projects/spring-boot;10.94;Java;249
dex2jar;11234;https://github.com/pxb1988/dex2jar;8.54;Java;7
elasticsearch;65222;https://github.com/elastic/elasticsearch;13.64;Java;123
interviews;60421;https://github.com/kdn251/interviews;6.62;Java;0
halo;28805;https://github.com/halo-dev/halo;5.52;Java;135
spring-framework;53233;https://github.com/spring-projects/spring-framework;12.81;Java;268
RxJava;47247;https://github.com/ReactiveX/RxJava;10.72;Java;232
ghidra;43095;https://github.com/NationalSecurityAgency/ghidra;4.58;Java;30
retrofit;42003;https://github.com/square/retrofit;13.06;Java;0
dubbo;39404;https://github.com/apache/dubbo;11.28;Java;88
MPAndroidChart;36820;https://github.com/PhilJay/MPAndroidChart;9.43;Java;44
jadx;36341;https://github.com/skylot/jadx;10.53;Java;28
jeecg-boot;35940;https://github.com/jeecgboot/jeecg-boot;4.84;Java;30
tutorials;34927;https://github.com/eugenp/tutorials;10.42;Java;0
hello-algo;34541;https://github.com/krahets/hello-algo;0.89;Java;5
lottie-android;34250;https://github.com/airbnb/lottie-android;6.97;Java;46
glide;33929;https://github.com/bumptech/glide;10.22;Java;47
dbeaver;33890;https://github.com/dbeaver/dbeaver;7.94;Java;184
arthas;33401;https://github.com/alibaba/arthas;5.08;Java;51
hello-algorithm;33257;https://github.com/geekxh/hello-algorithm;3.33;Java;0
AndroidUtilCode;32483;https://github.com/Blankj/AndroidUtilCode;7.16;Java;117
netty;31859;https://github.com/netty/netty;12.89;Java;0
zxing;31524;https://github.com/zxing/zxing;11.96;Java;30
spring-boot-demo;30519;https://github.com/xkcoding/spring-boot-demo;5.88;Java;0
spring-boot-examples;29407;https://github.com/ityouknow/spring-boot-examples;6.89;Java;0
easyexcel;29025;https://github.com/alibaba/easyexcel;5.64;Java;8
apollo;28367;https://github.com/apolloconfig/apollo;7.57;Java;38
selenium;27822;https://github.com/SeleniumHQ/selenium;10.7;Java;86
nacos;27581;https://github.com/alibaba/nacos;5.28;Java;58
druid;27229;https://github.com/alibaba/druid;11.9;Java;48
hutool;27116;https://github.com/dromara/hutool;9.46;Java;135
JCSprout;27003;https://github.com/crossoverJie/JCSprout;5.78;Java;0
canal;26758;https://github.com/alibaba/canal;10.71;Java;27
spring-cloud-alibaba;26458;https://github.com/alibaba/spring-cloud-alibaba;5.82;Java;35
vhr;26346;https://github.com/lenve/vhr;5.73;Java;0
SpringAll;26155;https://github.com/wuyouzhuguli/SpringAll;5.41;Java;0
kafka;25896;https://github.com/apache/kafka;12.12;Java;0
butterknife;25607;https://github.com/JakeWharton/butterknife;10.57;Java;0
fastjson;25454;https://github.com/alibaba/fastjson;11.9;Java;84
NewPipe;25344;https://github.com/TeamNewPipe/NewPipe;8.07;Java;126
xxl-job;25231;https://github.com/xuxueli/xxl-job;7.83;Java;32
proxyee-down;24995;https://github.com/proxyee-down-org/proxyee-down;5.92;Java;49
toBeTopJavaer;24909;https://github.com/hollischuang/toBeTopJavaer;4.92;Java;0
termux-app;24886;https://github.com/termux/termux-app;7.93;Java;89
EventBus;24436;https://github.com/greenrobot/EventBus;11.2;Java;7
SmartRefreshLayout;24397;https://github.com/scwang90/SmartRefreshLayout;6.32;Java;11
seata;24227;https://github.com/seata/seata;4.75;Java;37
Signal-Android;24056;https://github.com/signalapp/Signal-Android;11.79;Java;0
Hystrix;23613;https://github.com/Netflix/Hystrix;10.86;Java;79
leetcode;23345;https://github.com/doocs/leetcode;5.03;Java;19
Telegram;22669;https://github.com/DrKLO/Telegram;9.93;Java;82
gson;22452;https://github.com/google/gson;8.53;Java;6
skywalking;22446;https://github.com/apache/skywalking;7.89;Java;57
flink;22000;https://github.com/apache/flink;9.31;Java;0
libgdx;21991;https://github.com/libgdx/libgdx;11.13;Java;10
redisson;21811;https://github.com/redisson/redisson;9.71;Java;133
jenkins;21459;https://github.com/jenkinsci/jenkins;12.85;Java;290
Sentinel;21430;https://github.com/alibaba/Sentinel;5.48;Java;23
bazel;21397;https://github.com/bazelbuild/bazel;9.3;Java;227
ExoPlayer;21049;https://github.com/google/ExoPlayer;9.29;Java;28
eladmin;20204;https://github.com/elunez/eladmin;4.79;Java;1
ruoyi-vue-pro;19941;https://github.com/YunaiV/ruoyi-vue-pro;2.67;Java;21
rocketmq;19823;https://github.com/apache/rocketmq;6.82;Java;15
RxAndroid;19805;https://github.com/ReactiveX/RxAndroid;9.11;Java;20
DoKit;19673;https://github.com/didi/DoKit;5.12;Java;10
FizzBuzzEnterpriseEdition;19570;https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition;10.84;Java;0
mybatis-3;18936;https://github.com/mybatis/mybatis-3;10.62;Java;40
graal;19056;https://github.com/oracle/graal;7.7;Java;32
GSYVideoPlayer;19008;https://github.com/CarGuo/GSYVideoPlayer;6.87;Java;43
shardingsphere;18811;https://github.com/apache/shardingsphere;7.69;Java;54
HikariCP;18697;https://github.com/brettwooldridge/HikariCP;9.97;Java;0
PhotoView;18614;https://github.com/Baseflow/PhotoView;11.2;Java;5
litemall;18381;https://github.com/linlinjava/litemall;5.52;Java;8
cat;18090;https://github.com/dianping/cat;10.81;Java;3
openapi-generator;17699;https://github.com/OpenAPITools/openapi-generator;5.38;Java;58
SpringBoot-Labs;17553;https://github.com/yudaocode/SpringBoot-Labs;5.04;Java;0
SpringCloudLearning;17511;https://github.com/forezp/SpringCloudLearning;6.47;Java;0
keycloak;17487;https://github.com/keycloak/keycloak;10.24;Java;41
Apktool;17324;https://github.com/iBotPeaches/Apktool;11.53;Java;18
fresco;16996;https://github.com/facebook/fresco;8.58;Java;47
jdk;16952;https://github.com/openjdk/jdk;5.03;Java;0
tinker;16882;https://github.com/Tencent/tinker;7.06;Java;54
Android-Universal-Image-Loader;16806;https://github.com/nostra13/Android-Universal-Image-Loader;11.84;Java;0
zheng;16555;https://github.com/shuzheng/zheng;6.98;Java;0
java8-tutorial;16451;https://github.com/winterbe/java8-tutorial;9.54;Java;0
zipkin;16429;https://github.com/openzipkin/zipkin;11.31;Java;72
disruptor;16385;https://github.com/LMAX-Exchange/disruptor;11.02;Java;13
antlr4;15289;https://github.com/antlr/antlr4;13.65;Java;30
springboot-learning-example;15682;https://github.com/JeffLi1993/springboot-learning-example;6.64;Java;0
elasticsearch-analysis-ik;15519;https://github.com/medcl/elasticsearch-analysis-ik;11.79;Java;189
material-components-android;15403;https://github.com/material-components/material-components-android;6.81;Java;81
Android-CleanArchitecture;15386;https://github.com/android10/Android-CleanArchitecture;9.11;Java;0
SpringBoot-Learning;15360;https://github.com/dyc87112/SpringBoot-Learning;7.1;Java;0
Algorithms;15283;https://github.com/williamfiset/Algorithms;6.53;Java;0
JustAuth;15178;https://github.com/justauth/JustAuth;4.65;Java;44
presto;15091;https://github.com/prestodb/presto;11.14;Java;0
mybatis-plus;15080;https://github.com/baomidou/mybatis-plus;7.11;Java;25
VirtualXposed;14643;https://github.com/android-hacker/VirtualXposed;5.82;Java;50
BigData-Notes;14465;https://github.com/heibaiying/BigData-Notes;4.55;Java;0
CircleImageView;14463;https://github.com/hdodenhof/CircleImageView;9.7;Java;0
thingsboard;14401;https://github.com/thingsboard/thingsboard;6.82;Java;56
Grasscutter;14291;https://github.com/Grasscutters/Grasscutter;1.44;Java;17
ARouter;14282;https://github.com/alibaba/ARouter;6.79;Java;16
caffeine;14265;https://github.com/ben-manes/caffeine;8.79;Java;68
mockito;14217;https://github.com/mockito/mockito;10.96;Java;203
DataX;14193;https://github.com/alibaba/DataX;5.69;Java;7
QMUI_Android;14188;https://github.com/Tencent/QMUI_Android;6.44;Java;35
yudao-cloud;14025;https://github.com/YunaiV/yudao-cloud;4.41;Java;6
