repo_name;loc_total;loc_media;loc_mediana;cbo_total;cbo_media;cbo_mediana;dit_total;dit_media;dit_mediana;lcom_total;lcom_media;lcom_mediana
JavaGuide;0;0;0;0;0;0;0;0;0;0;0;0
react-native;66100;49.40;16.00;7341;5.49;3.00;1934;1.45;1.00;76283;57.01;0.00
LeetCodeAnimation;78;19.50;18.50;4;1.00;1.00;4;1.00;1.00;0;0.00;0.00
advanced-java;0;0;0;0;0;0;0;0;0;0;0;0
interviews;5621;21.87;20.00;307;1.19;1.00;258;1.00;1.00;75;0.29;0.00
GitHub-Chinese-Top-Charts;5;5.00;5.00;0;0.00;0.00;1;1.00;1.00;0;0.00;0.00
Java;30805;36.07;26.50;1539;1.80;2.00;883;1.03;1.00;4761;5.57;1.00
guava;259631;40.11;9.00;24428;3.77;2.00;11661;1.80;1.00;305385;47.18;0.00
RxJava;370187;31.20;5.00;29948;2.52;1.00;15641;1.32;1.00;562598;47.42;0.00
ghidra;1683410;71.48;24.00;164888;7.00;4.00;43978;1.87;1.00;3934170;167.06;1.00
retrofit;26753;24.48;6.00;4520;4.14;3.00;1293;1.18;1.00;18295;16.74;0.00
MPAndroidChart;21111;68.99;25.00;2706;8.84;5.00;606;1.98;1.00;27856;91.03;1.00
jadx;113100;44.70;19.00;11354;4.49;3.00;4309;1.70;1.00;76903;30.40;0.00
lottie-android;16387;59.37;24.00;1897;6.87;5.00;359;1.30;1.00;8312;30.12;1.00
dbeaver;435209;55.12;19.00;57592;7.29;4.00;12596;1.60;1.00;408674;51.76;1.00
cat;97994;51.79;26.00;10176;5.38;4.00;2714;1.43;1.00;43578;23.03;1.00
AndroidUtilCode;39929;59.60;14.00;2791;4.17;2.00;914;1.36;1.00;97104;144.93;0.00
netty;316909;46.91;11.00;29324;4.34;2.00;10256;1.52;1.00;450310;66.65;0.00
zxing;39779;66.86;31.00;2952;4.96;4.00;989;1.66;2.00;13570;22.81;0.00
spring-boot-demo;7163;14.86;7.00;2435;5.05;4.00;545;1.13;1.00;1119;2.32;0.00
spring-boot-examples;4461;14.53;7.00;1451;4.73;4.00;315;1.03;1.00;1545;5.03;0.00
easyexcel;20387;36.67;15.00;3695;6.65;5.00;760;1.37;1.00;17957;32.30;1.00
halo;33948;34.19;18.00;7481;7.53;6.00;1222;1.23;1.00;5850;5.89;0.00
apollo;27981;44.27;26.00;4639;7.34;6.00;819;1.30;1.00;8086;12.79;0.00
selenium;80124;44.96;20.00;10283;5.77;4.00;2571;1.44;1.00;54556;30.62;1.00
nacos;121903;45.97;23.00;13719;5.17;3.00;3482;1.31;1.00;50139;18.91;0.00
hello-algo;3856;35.70;29.50;219;2.03;2.00;108;1.00;1.00;506;4.69;1.00
druid;321750;56.01;20.00;28649;4.99;4.00;11191;1.95;2.00;1229153;213.95;0.00
hutool;118778;50.80;20.00;8561;3.66;3.00;3034;1.30;1.00;251214;107.45;1.00
JCSprout;4399;27.15;15.00;318;1.96;1.00;177;1.09;1.00;286;1.77;0.00
canal;109345;106.57;29.00;5937;5.79;4.00;1419;1.38;1.00;76706;74.76;1.00
