repositorio;arquivos;adicoes;remocoes;tempo_analise_segundos;descricao_tamanho;participantes;comentarios
materialdoc/materialdoc-web;4;161;1;7126.0;0;2;0
materialdoc/materialdoc-web;8;223;1;3887.0;101;2;0
materialdoc/materialdoc-web;4;61;1;3311.0;56;2;0
materialdoc/materialdoc-web;10;459;4;152.0;0;2;0
materialdoc/materialdoc-web;7;225;0;91207.0;0;3;0
materialdoc/materialdoc-web;19;26;28;32646.0;173;2;0
materialdoc/materialdoc-web;10;336;0;12488.0;0;2;0
materialdoc/materialdoc-web;3;137;0;96.0;0;1;0
materialdoc/materialdoc-web;3;137;0;5945.0;0;2;0
materialdoc/materialdoc-web;1;1;1;11125.0;135;2;0
materialdoc/materialdoc-web;1;1;1;44761.0;44;2;1
materialdoc/materialdoc-web;1;2;2;105604.0;305;2;1
materialdoc/materialdoc-web;1;1;1;1879.0;406;2;1
materialdoc/materialdoc-web;4;104;5;22463.0;333;2;1
materialdoc/materialdoc-web;1;1;1;686.0;0;3;1
materialdoc/materialdoc-web;1;1;1;188746924.858971;96;1;0
materialdoc/materialdoc-web;1;1;0;27556.0;91;2;0
materialdoc/materialdoc-web;1;1;1;237199.0;90;2;1
materialdoc/materialdoc-web;1;1;1;124403702.858971;282;1;0
Hesto/multi-auth;2;16;17;677906.0;93;2;0
Hesto/multi-auth;11;384;7;232476.0;431;3;6
Hesto/multi-auth;61;2867;7;3637.0;125;1;0
Hesto/multi-auth;65;2999;9;161708.0;176;2;1
Hesto/multi-auth;3;62;1;768254.0;150;2;2
Hesto/multi-auth;3;1;0;973.0;113;2;0
Hesto/multi-auth;1;1;1;12081486.0;111;1;0
Hesto/multi-auth;1;6;6;113407.0;35;2;0
Hesto/multi-auth;1;1;1;12797089.0;341;1;0
Hesto/multi-auth;1;1;1;427853.0;63;2;1
Hesto/multi-auth;1;28;25;15283502.0;42;2;0
Hesto/multi-auth;4;15;17;561184.0;273;4;2
Hesto/multi-auth;9;56;46;80938.0;88;3;0
Hesto/multi-auth;7;24;3;190283841.057314;0;2;0
Hesto/multi-auth;1;2;2;61376.0;78;2;0
Hesto/multi-auth;12;34;93;170977989.057314;194;3;0
Hesto/multi-auth;3;37;33;126694089.057314;107;1;0
ckirkendall/kioo;1;2;2;14690.0;0;2;0
ckirkendall/kioo;3;24;7;26715.0;0;1;1
ckirkendall/kioo;1;2;2;84.0;29;2;0
ckirkendall/kioo;1;1;1;216.0;0;2;0
ckirkendall/kioo;3;38;6;39790.0;531;3;11
ckirkendall/kioo;1;1;1;12735.0;37;2;0
ckirkendall/kioo;1;1;1;397.0;0;2;0
ckirkendall/kioo;1;15;0;97635.0;346;3;5
