nome_do_repositorio;linguagem;falhas_totais;etapas_falha;falhas_build;falhas_teste;falhas_lint;falhas_deploy;total_pipelines;percentual_falha;tempos_correcao;linhas_adicionadas;linhas_removidas
EbookFoundation/free-programming-books;Não especificado;1;['build'];1;0;0;0;30;3.33%;[0.0];[1];[1]
sindresorhus/awesome;Não especificado;11;['lint', 'lint', 'lint', 'lint', 'lint', 'lint', 'lint', 'lint', 'lint', 'lint', 'lint'];0;0;11;0;30;36.67%;[-213812.0, -309850.0, -18156.0, -5420.0, -5092.0, -2049099.0, -1244136.0, -1108788.0, -1107007.0];[1, 1, 14, 1, 9, 1, 1, 66, 66];[0, 0, 5, 1, 2, 1, 0, 87, 87]
public-apis/public-apis;Python;15;['Check all links are working', 'Check all links are working', 'Validate README.md changes', 'Validate README.md changes', 'Validate README.md changes', 'Check all links are working', 'Check all links are working', 'Check all links are working', 'Check all links are working', 'Check all links are working', 'Check all links are working', 'Check all links are working', 'Check all links are working', 'Check all links are working', 'Check all links are working'];0;0;0;0;30;50.00%;[-101492.0, -15112.0, 0.0, -19322.0, 0.0];[1, 1, 1, 1, 1];[0, 0, 1, 1, 0]
kamranahmedse/developer-roadmap;TypeScript;5;['build', 'build', 'upgrade-deps', 'build', 'build'];4;0;0;0;30;16.67%;[-21745.0, -21501.0, -61149.0, -41865.0, -41716.0];[20, 4, 3180, 3180, 144];[15, 4, 1600, 1600, 63]
vuejs/vue;TypeScript;12;['ssr-sfc-test', 'ssr-sfc-test', 'e2e-test', 'e2e-test', 'ssr-sfc-test', 'ssr-sfc-test', 'ssr-sfc-test', 'ssr-sfc-test', 'ssr-sfc-test', 'ssr-sfc-test', 'e2e-test', 'ssr-sfc-test'];0;18;0;0;30;40.00%;[-135.0, -25.0, -15353381.0, -15353328.0, -15350259.0, -15350227.0, -15350222.0, -15350220.0, -15350216.0, -15350177.0, -1215753.0, -1215594.0];[43, 10, 1, 951, 3, 4, 4, 4, 18, 1207, 4, 4];[2, 10, 1, 431, 3, 3, 3, 3, 2, 1124, 4, 4]
TheAlgorithms/Python;Python;10;['ruff', 'build', 'ruff', 'build', 'ruff', 'build', 'build', 'ruff', 'build', 'ruff'];5;0;0;0;30;33.33%;[0.0, -98.0, -98.0, -20.0, -20.0];[28, 3, 3, 1, 1];[22, 1, 1, 1, 1]
ytdl-org/youtube-dl;Python;6;['Run tests (ubuntu-20.04, 2.7, cpython, core, sh)', 'Linter', 'Run tests (ubuntu-20.04, 3.2, cpython, core, sh)', 'Run tests (ubuntu-20.04, 3.2, cpython, core, sh)', 'Linter', 'Run tests (ubuntu-20.04, 3.11, cpython, core, sh)'];0;5;2;0;30;20.00%;[-1622.0, -679.0, -1046764.0, -1045521.0, -115426.0, -180350.0];[36, 37, 1, 36, 85, 1];[0, 1, 0, 0, 45, 1]
golang/go;Go;2;['Analyze (go)', 'Analyze (go)'];0;0;0;0;2;100.00%;[];[];[]
huggingface/transformers;Python;1;['AMD mi250 / Model tests (generation, single-gpu)'];0;1;0;0;30;3.33%;[-23.0];[5];[2]
vercel/next.js;JavaScript;5;['test dev (2) / build', 'build-next / build', 'build / build', 'test dev (2) / build', 'test dev (2) / build'];9;0;0;0;30;16.67%;[-1.0, -2.0, -2.0, 0.0, -80.0];[2, 9, 9, 1, 48];[2, 10, 10, 1, 83]
