repository_name;pipeline_name;reason_failure;fix_time
spring-projects/spring-boot;Build Pull Request;fix formatting and checkstyle;-1 day, 21:25:07
spring-projects/spring-boot;Build Pull Request;Add test;-1 day, 23:32:13
spring-projects/spring-boot;Build Pull Request;Instrument user-created data-source for checkpoint-restore.;-1 day, 14:40:59
spring-projects/spring-boot;Build Pull Request;Add RabbitMQ maxInboundMessageBodySize;-2 days, 9:56:53
spring-projects/spring-boot;Build Pull Request;"Use `Neo4jManagedTypes` to populate the mapping context.

Fixes #37573.";-2 days, 16:24:33
spring-projects/spring-boot;Build Pull Request;"Add support for configuring JMS listener sessionTransacted

This commit introduces `spring.jms.listener.session-transacted` property
in order to enable explicit configuration of `sessionTransacted` on the
`DefaultMessageListenerContainer`.

Prior to this commit, `sessionTransacted` would be configured implicitly
based on presence of `JtaTransactionManager`.";-5 days, 1:38:59
spring-projects/spring-boot;Build Pull Request;"Add support for configuring non-standard JMS acknowledge modes

Prior to this commit, `spring.jms.listener.acknowledge-mode` and
`spring.jms.template.acknowledge-mode` accepted only a predefined set of
values representing standard JMS acknowledge modes.

This commit adds support for also using arbitrary integer values to
these configuration properties, which allow configuring vendor-specific
JMS acknowledge modes.

Closes gh-37447";-5 days, 2:04:22
spring-projects/spring-boot;Build Pull Request;Polishing.;-5 days, 5:18:31
spring-projects/spring-boot;Build Pull Request;"Use `Neo4jManagedTypes` to populate the mapping context.

Fixes #37573.";-5 days, 6:56:04
spring-projects/spring-boot;Build Pull Request;"Add Spring Pulsar container property customizers

This commit adds the ability for users to register
property customizers for the auto-configured Spring
Pulsar listener containers.

See #36347";-4 days, 13:32:11
spring-projects/spring-boot;Build Pull Request;Removed setValidateConnectionOnBorrow method call on ucp datasource;-1 day, 19:39:04
spring-projects/spring-boot;Build Pull Request;"Add support for configuring JmsTemplate acknowledgeMode and sessionTransacted

Closes gh-37472";-1 day, 21:02:44
spring-projects/spring-boot;Build Pull Request;fix bootBuildImage task failing when native GraalVM compilation is slow and HTTP/S communication with Docker is used;-1 day, 22:09:31
oracle/graal;GraalVM Gate;Add createLocal(Object name) method to API;-1 day, 23:20:06
oracle/graal;GraalVM Gate;"Tier0, Tier1 -> Uncached, Cached; improve error reporting";-1 day, 22:51:07
oracle/graal;Nightly Quarkus Tests;"[GR-48497] Use HotSpotBytecodeParser instead of BytecodeParser

PullRequest: graal/15655";-13 days, 7:25:55
oracle/graal;Nightly Quarkus Tests;"[GR-48497] Use HotSpotBytecodeParser instead of BytecodeParser

PullRequest: graal/15655";-12 days, 7:25:51
oracle/graal;Nightly Quarkus Tests;"[GR-48497] Use HotSpotBytecodeParser instead of BytecodeParser

PullRequest: graal/15655";-11 days, 7:26:07
oracle/graal;Nightly Quarkus Tests;"[GR-48930] Do not disable GC hinting for libgraal in -Xcomp mode.

PullRequest: graal/15678";-10 days, 7:26:05
oracle/graal;Nightly Quarkus Tests;"[GR-48309] Remove PRaiseNode from some builtins

PullRequest: graalpython/2992";-9 days, 7:26:06
oracle/graal;Nightly Quarkus Tests;"[GR-48632] Fix LambdaUtils#findStableLambdaName on JDK 22

PullRequest: graal/15645";-8 days, 7:25:43
oracle/graal;Nightly Quarkus Tests;Use precise root node type when binding $root;-8 days, 18:44:24
oracle/graal;Nightly Quarkus Tests;"[GR-21590] Update imports

PullRequest: graalpython/2989";-7 days, 7:25:43
oracle/graal;Nightly Quarkus Tests;"[GR-48645] Add compiler and libgraal JDK 22 jobs.

PullRequest: graal/15619";-6 days, 7:25:49
oracle/graal;Nightly Quarkus Tests;"[GR-48645] Add compiler and libgraal JDK 22 jobs.

PullRequest: graal/15619";-5 days, 7:25:56
oracle/graal;Nightly Quarkus Tests;"[GR-48747] [GR-48732] Use standalones for tests.

PullRequest: graalpython/2968";-4 days, 7:25:54
oracle/graal;Nightly Quarkus Tests;"[GR-48343] [GR-48359] Add support for JFR events AllocationRequiringGC and SystemGC.

PullRequest: graal/15416";-3 days, 7:26:02
oracle/graal;Nightly Quarkus Tests;"[GR-48412] Use VM interpreter oop map for OSR entry point.

PullRequest: graal/15546";-2 days, 7:25:52
oracle/graal;Nightly Quarkus Tests;"[GR-45863] Instrumentation intercepts yield/resume and debugger fixes stepping over await.

PullRequest: graal/15198";-1 day, 7:26:02
oracle/graal;Nightly Quarkus Tests;"[GR-48660] Fix ""New VarHandle found after static analysis"" in Netty 5.

PullRequest: graal/15596";-2 days, 0:00:00
oracle/graal;Nightly Quarkus Tests;Improve Java code snippet rendering;-2 days, 13:32:25
