Name;Stars;URL;Years;Total Pull Requests;Total Releases;Days Since Last Update;Primary Language;Closed Issues;Total Issues;Issues Ratio (Closed/Total)
freeCodeCamp;371653;https://github.com/freeCodeCamp/freeCodeCamp;8.684931506849315;33739;0;-1;TypeScript;0;17028;0.0
free-programming-books;296706;https://github.com/EbookFoundation/free-programming-books;9.887671232876713;8401;0;-1;N/A;0;958;0.0
996.ICU;267839;https://github.com/996icu/996.ICU;4.4301369863013695;1962;0;-1;N/A;0;0;0
awesome;267224;https://github.com/sindresorhus/awesome;9.139726027397261;1944;0;-1;N/A;0;331;0.0
coding-interview-university;264081;https://github.com/jwasham/coding-interview-university;7.232876712328767;904;0;-1;N/A;0;402;0.0
public-apis;253517;https://github.com/public-apis/public-apis;7.443835616438356;3018;0;-1;Python;0;504;0.0
developer-roadmap;249373;https://github.com/kamranahmedse/developer-roadmap;6.46027397260274;2533;1;-1;TypeScript;0;1373;0.0
system-design-primer;227941;https://github.com/donnemartin/system-design-primer;6.506849315068493;496;0;-1;Python;0;259;0.0
build-your-own-x;214479;https://github.com/codecrafters-io/build-your-own-x;5.30958904109589;332;0;-1;N/A;0;560;0.0
react;212364;https://github.com/facebook/react;10.271232876712329;13832;99;-1;JavaScript;0;12420;0.0
vue;205032;https://github.com/vuejs/vue;10.09041095890411;2440;245;-1;TypeScript;0;9989;0.0
awesome-python;178847;https://github.com/vinta/awesome-python;9.178082191780822;1830;0;-1;Python;0;0;0
tensorflow;177241;https://github.com/tensorflow/tensorflow;7.813698630136987;23325;194;-1;C++;0;37836;0.0
javascript-algorithms;174616;https://github.com/trekhleb/javascript-algorithms;5.435616438356164;690;0;-1;JavaScript;0;327;0.0
You-Dont-Know-JS;170849;https://github.com/getify/You-Dont-Know-JS;9.789041095890411;880;0;-1;N/A;0;913;0.0
Python;166802;https://github.com/TheAlgorithms/Python;7.123287671232877;7205;0;-1;Python;0;1293;0.0
CS-Notes;166426;https://github.com/CyC2018/CS-Notes;5.542465753424658;605;0;-1;N/A;0;566;0.0
